Network,Algorithm,Num Core Nodes,Num Periphery Nodes,Core Avg Degree,Periphery Avg Degree,Degree Ratio (C/P),Core Avg Betweenness,Periphery Avg Betweenness,Betweenness Ratio (C/P),Core Avg Closeness,Periphery Avg Closeness,Closeness Ratio (C/P)
Karate Club,BE,1,33,0.5152,0.1276,4.0360,0.3041,0.0361,8.4172,0.5500,0.4227,1.3010
Karate Club,Rombach,10,24,0.2727,0.0833,3.2727,0.1337,0.0067,20.0873,0.5156,0.3893,1.3244
Karate Club,Cucuringu,3,31,0.3939,0.1144,3.4444,0.1977,0.0291,6.7839,0.5416,0.4153,1.3041
Dolphins,BE,0,62,,0.0841,,,0.0393,,,0.3072,
Dolphins,Rombach,18,44,0.1330,0.0641,2.0749,0.0527,0.0338,1.5604,0.3507,0.2894,1.2118
Dolphins,Cucuringu,6,56,0.1257,0.0796,1.5784,0.0668,0.0363,1.8382,0.2878,0.3093,0.9304
Les Miserables,BE,0,77,,0.0868,,,0.0219,,,0.3893,
Les Miserables,Rombach,23,54,0.1751,0.0492,3.5566,0.0519,0.0091,5.6869,0.4472,0.3647,1.2263
Les Miserables,Cucuringu,8,69,0.2270,0.0706,3.2169,0.1181,0.0107,11.0187,0.4687,0.3801,1.2329
Football,BE,0,115,,0.0935,,,0.0133,,,0.3993,
Football,Rombach,34,81,0.0955,0.0927,1.0298,0.0133,0.0134,0.9959,0.4030,0.3978,1.0131
Football,Cucuringu,12,103,0.1001,0.0927,1.0798,0.0148,0.0132,1.1190,0.4017,0.3990,1.0066
