source,target
0,550
0,943
0,2965
0,5583
0,7044
0,7705
0,7963
0,8186
0,8645
0,8854
0,9457
1,182
1,2257
1,3228
1,4365
1,4929
1,6940
1,7008
1,7298
1,8010
1,8467
1,8971
1,9243
2,3191
2,4033
2,5554
2,5750
2,5846
2,5900
3,1314
3,1431
3,1471
3,5698
3,6806
4,1153
4,1456
4,3236
4,4051
4,4922
4,6507
4,6963
4,7178
4,8003
5,786
5,941
5,1095
5,1460
5,4549
5,4647
5,4880
5,7032
5,8986
5,9773
6,887
6,906
6,1249
6,1898
6,3291
6,4141
6,4176
6,4536
6,5100
6,5353
6,5435
6,5457
6,6649
6,6715
6,7490
6,8284
6,8947
7,1378
7,2277
7,2624
7,3310
7,3535
7,4238
7,4618
7,5020
7,8214
7,9270
7,9556
8,145
8,3322
8,5064
8,5395
8,5621
8,5698
8,6677
8,6866
8,7628
8,8004
8,8884
8,9429
9,207
9,1852
9,2617
9,2763
9,3026
9,7374
9,8158
10,112
10,869
10,1956
10,2820
10,2924
10,3136
10,5677
10,6011
10,6027
10,9450
10,9731
11,449
11,1590
11,2155
11,2255
11,5169
11,5888
11,5938
11,7068
11,7642
11,7910
11,9583
12,1833
12,2013
12,3172
12,3743
12,4887
12,6793
12,7718
13,62
13,2877
13,3280
13,3655
13,3859
13,4131
13,4142
13,5685
13,5943
13,6111
13,6857
13,7261
13,7394
13,7752
13,9221
13,9478
14,614
14,1852
14,2837
14,4955
14,6236
14,6397
14,7963
14,8575
15,3211
15,3803
15,4592
15,4756
15,6878
15,8025
16,19
16,2811
16,3196
16,3256
16,4831
16,7647
16,7831
16,8623
16,9176
16,9312
16,9412
17,1998
17,4768
17,5412
17,6116
17,7058
17,7404
17,7689
17,8799
17,9925
18,858
18,2088
18,2767
18,2861
18,3438
18,4519
18,4714
18,5986
18,7098
18,8106
18,8212
18,8295
18,9222
19,1030
19,2411
19,2718
19,2763
19,2784
19,4154
19,5580
19,6383
19,6615
19,7739
19,8187
20,2337
20,2587
20,4719
20,5567
20,5762
20,7530
20,7611
20,7728
20,8005
21,2169
21,8688
21,9946
22,1336
22,1828
22,2148
22,3257
22,3971
22,4078
22,5026
22,9169
23,824
23,2109
23,2168
23,3518
23,4653
23,4809
23,6831
24,554
24,645
24,1775
24,3982
24,7321
24,7900
24,8487
24,9777
25,550
25,1681
25,7526
25,8191
25,9913
26,291
26,1198
26,2577
26,2900
26,6273
26,6287
26,6580
27,819
27,1136
27,3100
27,3587
27,5400
27,6332
27,6754
27,7071
27,7167
27,8272
27,8932
27,9965
28,399
28,1005
28,1439
28,1867
28,3494
28,3596
28,3828
28,5689
28,5735
