Network Property,Algorithm,Algorithm Metric,Correlation (r)
Nodes (N),BE,BE_runtime,0.927324
Nodes (N),BE,BE_ideal_pattern_match,0.465339
Nodes (N),BE,BE_core_percentage,-0.414347
Nodes (N),BE,BE_core_density,-0.199998
Nodes (N),BE,BE_periphery_density,-0.699060
Nodes (N),BE,BE_core_periphery_ratio,0.090513
Nodes (N),Rombach,Rombach_runtime,0.953405
Nodes (N),Rombach,Rombach_ideal_pattern_match,0.535585
Nodes (N),Rombach,Rombach_core_percentage,0.662769
Nodes (N),Rombach,Rombach_core_density,-0.826504
Nodes (N),Rombach,Rombach_periphery_density,-0.784497
Nodes (N),Rombach,Rombach_core_periphery_ratio,0.074618
Nodes (N),LowRankCore,LowRankCore_runtime,0.952774
Nodes (N),LowRankCore,LowRankCore_ideal_pattern_match,0.481329
Nodes (N),LowRankCore,LowRankCore_core_percentage,0.135556
Nodes (N),LowRankCore,LowRankCore_core_density,-0.722905
Nodes (N),LowRankCore,LowRankCore_periphery_density,-0.791419
Nodes (N),LowRankCore,LowRankCore_core_periphery_ratio,0.154882
Edges (E),BE,BE_runtime,0.269875
Edges (E),BE,BE_ideal_pattern_match,0.462305
Edges (E),BE,BE_core_percentage,-0.399504
Edges (E),BE,BE_core_density,0.714503
Edges (E),BE,BE_periphery_density,-0.440508
Edges (E),BE,BE_core_periphery_ratio,0.860104
Edges (E),Rombach,Rombach_runtime,0.455976
Edges (E),Rombach,Rombach_ideal_pattern_match,0.367092
Edges (E),Rombach,Rombach_core_percentage,0.475452
Edges (E),Rombach,Rombach_core_density,-0.402934
Edges (E),Rombach,Rombach_periphery_density,-0.525816
Edges (E),Rombach,Rombach_core_periphery_ratio,0.633025
Edges (E),LowRankCore,LowRankCore_runtime,0.573839
Edges (E),LowRankCore,LowRankCore_ideal_pattern_match,0.332203
Edges (E),LowRankCore,LowRankCore_core_percentage,0.082613
Edges (E),LowRankCore,LowRankCore_core_density,-0.280618
Edges (E),LowRankCore,LowRankCore_periphery_density,-0.527205
Edges (E),LowRankCore,LowRankCore_core_periphery_ratio,0.905126
Density,BE,BE_runtime,-0.534833
Density,BE,BE_ideal_pattern_match,-0.510698
Density,BE,BE_core_percentage,0.400270
Density,BE,BE_core_density,-0.043517
Density,BE,BE_periphery_density,0.957017
Density,BE,BE_core_periphery_ratio,-0.513912
Density,Rombach,Rombach_runtime,-0.625517
Density,Rombach,Rombach_ideal_pattern_match,-0.559977
Density,Rombach,Rombach_core_percentage,-0.918150
Density,Rombach,Rombach_core_density,0.955620
Density,Rombach,Rombach_periphery_density,0.975830
Density,Rombach,Rombach_core_periphery_ratio,-0.527527
Density,LowRankCore,LowRankCore_runtime,-0.658416
Density,LowRankCore,LowRankCore_ideal_pattern_match,-0.367577
Density,LowRankCore,LowRankCore_core_percentage,-0.466815
Density,LowRankCore,LowRankCore_core_density,0.787161
Density,LowRankCore,LowRankCore_periphery_density,0.959703
Density,LowRankCore,LowRankCore_core_periphery_ratio,-0.365601
Average Degree,BE,BE_runtime,-0.156931
Average Degree,BE,BE_ideal_pattern_match,0.301966
Average Degree,BE,BE_core_percentage,-0.247755
Average Degree,BE,BE_core_density,0.903884
Average Degree,BE,BE_periphery_density,-0.140852
Average Degree,BE,BE_core_periphery_ratio,0.890501
Average Degree,Rombach,Rombach_runtime,0.037158
Average Degree,Rombach,Rombach_ideal_pattern_match,0.071580
Average Degree,Rombach,Rombach_core_percentage,0.229725
Average Degree,Rombach,Rombach_core_density,-0.052737
Average Degree,Rombach,Rombach_periphery_density,-0.185398
Average Degree,Rombach,Rombach_core_periphery_ratio,0.644847
Average Degree,LowRankCore,LowRankCore_runtime,0.168507
Average Degree,LowRankCore,LowRankCore_ideal_pattern_match,0.051599
Average Degree,LowRankCore,LowRankCore_core_percentage,0.114182
Average Degree,LowRankCore,LowRankCore_core_density,-0.004110
Average Degree,LowRankCore,LowRankCore_periphery_density,-0.183275
