Network,Algorithm,runtime,ideal_pattern_match,core_size,periphery_size,core_percentage,core_density,periphery_density,core_periphery_ratio,Calculated_Avg_Degree_Core,Calculated_Avg_Degree_Periphery,Core Avg Clustering,Periphery Avg Clustering,Clustering Ratio (C/P),Param_alpha,Param_beta,Param_num_runs
Karate Club,BE,0.000743,86.274510,1.000000,33.000000,2.941176,0.000000,0.115530,0.000000,0.000000,3.696970,0.110294,0.584588,0.188670,,,20.000000
Dolphins,BE,0.018136,41.023268,26.150000,35.850000,42.177419,0.172239,0.032727,inf,4.331822,1.140538,,0.258958,,,,20.000000
Les Miserables,BE,0.029629,78.650034,8.600000,68.400000,11.168831,0.475000,0.055954,8.656400,3.610000,3.771274,,0.573137,,,,20.000000
Football,BE,0.041312,76.040427,18.600000,96.400000,16.173913,0.164056,0.079262,inf,2.887392,7.561607,,0.403216,,,,10.000000
Facebook Combined,BE,1686.516267,98.829160,2.000000,4037.000000,0.049517,1.000000,0.010780,92.766554,1.000000,43.507060,0.363086,0.605667,0.599482,,,1.000000
Power Grid,BE,2769.000842,98.195332,43.500000,4897.500000,0.880389,0.017106,0.000537,31.854955,0.726987,2.629502,0.080152,0.000000,,,,1.000000
Bianconi-0.7,BE,26427.917823,84.720781,795.000000,9205.000000,7.950000,0.005191,0.000416,12.478366,4.121934,3.829115,0.375318,0.070601,5.316070,,,1.000000
Bianconi-0.97,BE,25914.175636,92.818811,364.500000,9635.500000,3.645000,0.011850,0.000451,26.292162,4.307340,4.342172,0.142551,0.637053,0.223766,,,1.000000
YeastL,BE,398.597743,90.003589,121.000000,2240.000000,5.124947,0.053581,0.001471,36.413190,6.429752,3.294643,0.083003,0.132596,0.625987,,,10.000000
Karate Club,Rombach,0.001593,80.035651,3.000000,31.000000,8.823529,1.000000,0.101075,9.893617,2.000000,3.032258,0.235755,0.603047,0.390939,0.500000,0.900000,5.000000
Dolphins,Rombach,0.004365,77.225454,6.000000,56.000000,9.677419,0.866667,0.077489,11.174274,4.333333,4.261905,0.399002,0.243954,1.635565,0.500000,0.900000,5.000000
Les Miserables,Rombach,0.005466,80.576441,7.000000,70.000000,9.090909,0.968254,0.064458,15.050102,5.809524,4.447619,0.543964,0.576054,0.944293,0.500000,0.900000,5.000000
Football,Rombach,0.011321,74.838546,11.000000,104.000000,9.565217,0.739394,0.099266,7.447259,7.393939,10.224359,0.498072,0.393183,1.266767,0.500000,0.900000,5.000000
Facebook Combined,Rombach,22.650164,80.818573,403.000000,3636.000000,9.977717,0.320507,0.008029,39.920000,128.843672,29.185552,0.658506,0.599677,1.098102,0.500000,0.900000,5.000000
Power Grid,Rombach,11.365547,80.975328,494.000000,4447.000000,9.997976,0.007019,0.000497,14.133518,3.460189,2.209879,0.238759,0.062479,3.821410,0.500000,0.900000,5.000000
Bianconi-0.7,Rombach,75.169211,81.005820,999.000000,9001.000000,9.990000,0.005914,0.000440,13.458073,5.902569,3.958597,0.159580,0.399195,0.399754,0.500000,0.900000,5.000000
Bianconi-0.97,Rombach,58.154803,81.010864,999.000000,9001.000000,9.990000,0.005967,0.000409,14.623516,5.955289,3.678406,0.240693,0.660992,0.364139,0.500000,0.900000,5.000000
YeastL,Rombach,4.662111,81.027119,236.000000,2125.000000,9.995765,0.054694,0.001447,37.885689,12.853107,3.074196,0.172803,0.125376,1.378276,0.500000,0.900000,5.000000
Karate Club,LowRankCore,0.086819,82.174688,3.000000,31.000000,8.823529,0.666667,0.088172,7.560976,1.333333,2.645161,0.183903,0.608065,0.302440,,0.100000,
Dolphins,LowRankCore,0.008999,76.520360,6.000000,56.000000,9.677419,0.866667,0.081818,10.592593,4.333333,4.500000,0.420238,0.241678,1.738833,,0.100000,
Les Miserables,LowRankCore,0.009546,79.289132,8.000000,69.000000,10.389610,0.857143,0.059676,14.363265,6.000000,4.057971,0.590042,0.571177,1.033029,,0.100000,
Football,LowRankCore,0.014737,74.508009,12.000000,103.000000,10.434783,0.227273,0.093470,2.431494,2.500000,9.533981,0.391246,0.404611,0.966969,,0.100000,
Facebook Combined,LowRankCore,3.753074,80.752767,404.000000,3635.000000,10.002476,0.324841,0.008165,39.786883,130.910891,29.669876,0.660440,0.599446,1.101751,,0.100000,
Power Grid,LowRankCore,1.472598,80.889033,496.000000,4445.000000,10.038454,0.004977,0.000581,8.573190,2.463710,2.579978,0.090194,0.078978,1.142017,,0.100000,
Bianconi-0.7,LowRankCore,7.989705,80.985645,1000.000000,9000.000000,10.000000,0.005149,0.000453,11.357774,5.144000,4.079778,0.187142,0.396159,0.472392,,0.100000,
Bianconi-0.97,LowRankCore,6.413487,80.990329,1000.000000,9000.000000,10.000000,0.005345,0.000424,12.593812,5.340000,3.819556,0.302381,0.654184,0.462227,,0.100000,
YeastL,LowRankCore,0.526640,80.485467,242.000000,2119.000000,10.249894,0.024485,0.001982,12.355365,5.900826,4.197263,0.098438,0.133718,0.736160,,0.100000,
