node_id,degree_centrality,betweenness_centrality,closeness_centrality,local_clustering_coefficient
0,0.0083008301,0.055087457,0.27154224,0.029973553
1,0.0030003,0.017562188,0.26193907,0.082758621
2,0.00310031,0.011308396,0.24239412,0.090322581
3,0.00350035,0.022767583,0.25475808,0.062184874
4,0.00460046,0.0301178,0.26799786,0.046376812
5,0.00430043,0.027761244,0.25892742,0.054263566
6,0.0075007501,0.061855685,0.27727248,0.040720721
7,0.00470047,0.024257262,0.25722885,0.050878816
8,0.00320032,0.011706308,0.24778827,0.080645161
9,0.0051005101,0.04263089,0.27585731,0.047843137
10,0.00240024,0.010154172,0.24709633,0.086956522
11,0.00460046,0.027171922,0.26518326,0.056038647
12,0.00490049,0.028641955,0.2585926,0.052721088
13,0.0030003,0.010802083,0.2467853,0.08045977
14,0.00440044,0.017029998,0.25072089,0.050739958
15,0.00160016,0.0045076394,0.23965199,0.125
16,0.00280028,0.0064988137,0.23349602,0.092592593
17,0.0051005101,0.0167373,0.24483949,0.050196078
18,0.00290029,0.0098874238,0.24692547,0.061576355
19,0.00110011,0.0019445026,0.23181787,0.18181818
20,0.00430043,0.023235519,0.26039062,0.059800664
21,0.00320032,0.00863936,0.24120712,0.066532258
22,0.0052005201,0.036795694,0.26600867,0.045248869
23,0.00070007001,0.0009080883,0.23551996,0.33333333
24,0.0050005001,0.026665925,0.25510907,0.047346939
25,0.00130013,0.0020150725,0.23422896,0.11538462
26,0.00150015,0.0033111428,0.23849163,0.13333333
27,0.00220022,0.0064813653,0.23231338,0.073593074
28,0.00290029,0.012685299,0.24538025,0.064039409
29,0.00430043,0.018931069,0.25264036,0.052048726
30,0.00190019,0.0050234281,0.23873648,0.10526316
31,0.00180018,0.0038200028,0.23251866,0.15686275
32,0.00420042,0.022330241,0.24796647,0.056910569
33,0.0030003,0.0081973111,0.2408005,0.064367816
34,0.00180018,0.0021921696,0.22210622,0.15686275
35,0.00360036,0.015106011,0.24821885,0.057142857
36,0.00210021,0.0052907049,0.23296289,0.09047619
37,0.00240024,0.0099052008,0.24542844,0.094202899
38,0.00310031,0.017011273,0.25271059,0.064516129
39,0.00240024,0.0054161097,0.23493339,0.10507246
40,0.00430043,0.01859524,0.25133851,0.054263566
41,0.0030003,0.0091759452,0.23200074,0.08045977
42,0.0040004,0.012948794,0.24104431,0.055128205
43,0.00290029,0.014619706,0.24643861,0.068965517
44,0.00270027,0.012782663,0.2506015,0.076923077
45,0.0030003,0.00428371,0.22630364,0.087356322
46,0.00270027,0.010989695,0.24295954,0.088319088
47,0.00270027,0.0049877969,0.23043418,0.1025641
48,0.00170017,0.0054037158,0.23741007,0.16911765
49,0.00220022,0.0088673917,0.24228253,0.095238095
50,0.0020002,0.0079273554,0.23899897,0.089473684
51,0.00350035,0.0096406876,0.23241057,0.07394958
52,0.00450045,0.017065679,0.2443847,0.052525253
53,0.0030003,0.012059172,0.24318408,0.07816092
54,0.0059005901,0.02645797,0.25157249,0.042080655
55,0.00260026,0.0055785555,0.22795978,0.10769231
56,0.00330033,0.012455604,0.24060928,0.075757576
57,0.00080008001,0.0010589058,0.22586402,0.21428571
58,0.00340034,0.017223904,0.24754289,0.057040998
59,0.00250025,0.009642457,0.23641092,0.09
60,0.00190019,0.0029158214,0.2307639,0.12280702
61,0.00150015,0.0034698967,0.23325091,0.1047619
62,0.00310031,0.0095768869,0.23512122,0.068817204
63,0.00270027,0.0089729239,0.23730865,0.074074074
64,0.00210021,0.005222029,0.23128166,0.1
65,0.00150015,0.0041629549,0.23287065,0.076190476
66,0.00190019,0.0064902785,0.23679723,0.064327485
67,0.00280028,0.01054847,0.24036058,0.071428571
68,0.00240024,0.0050617372,0.22584871,0.094202899
69,0.00290029,0.006662384,0.23050324,0.066502463
70,0.00160016,0.0034915964,0.22651383,0.125
71,0.00260026,0.0034891651,0.21237867,0.10153846
72,0.00230023,0.0058765711,0.23674677,0.090909091
73,0.00260026,0.0062511405,0.23189313,0.08
74,0.00230023,0.0062580778,0.2306468,0.086956522
75,0.00210021,0.0051655292,0.23023256,0.095238095
76,0.00280028,0.0077662105,0.23046605,0.071428571
77,0.00160016,0.0018903628,0.21615721,0.15833333
78,0.00160016,0.0031429238,0.2206895,0.11666667
79,0.00360036,0.014266109,0.24170272,0.066666667
80,0.00210021,0.0033615972,0.22573144,0.080952381
81,0.00290029,0.0087818424,0.2322702,0.068965517
82,0.00190019,0.0059600536,0.2349886,0.076023392
83,0.00210021,0.0041219716,0.23434424,0.1
84,0.00250025,0.0065315863,0.22679126,0.083333333
85,0.00280028,0.0072190025,0.23174802,0.087301587
86,0.00260026,0.0099944577,0.2370892,0.076923077
87,0.0010001,0.0013153588,0.22743608,0.31111111
88,0.00190019,0.0031245613,0.2187965,0.12280702
89,0.00240024,0.0047096052,0.22500506,0.10507246
90,0.00110011,0.0034039289,0.22815224,0.12727273
91,0.00290029,0.0068996835,0.22585381,0.086206897
92,0.00190019,0.0051149856,0.22907216,0.11695906
93,0.00210021,0.0057472778,0.2383495,0.11904762
94,0.00160016,0.0025822791,0.21840461,0.14166667
95,0.0030003,0.0088372005,0.22986735,0.068965517
96,0.0020002,0.0063395271,0.2343717,0.10526316
97,0.00180018,0.0021566066,0.22134904,0.16339869
98,0.00180018,0.0033068013,0.2131892,0.13071895
99,0.0020002,0.004347057,0.22782993,0.089473684
100,0.00190019,0.0039631081,0.23157627,0.064327485
101,0.00080008001,0.00065717221,0.21953147,0.28571429
102,0.00080008001,0.00092798705,0.2167335,0.21428571
103,0.00290029,0.0080882512,0.22792861,0.073891626
104,0.00130013,0.0035155162,0.22775209,0.19230769
105,0.00140014,0.0019673679,0.21681339,0.13186813
106,0.00210021,0.0045495716,0.22583341,0.13809524
107,0.0020002,0.0048864954,0.22742574,0.11052632
108,0.00390039,0.011046249,0.23452562,0.059379217
109,0.00240024,0.0058173277,0.22955599,0.11231884
110,0.00240024,0.0066723984,0.22773134,0.097826087
111,0.00170017,0.0021173057,0.21610115,0.14705882
112,0.00220022,0.0042346815,0.21917058,0.1038961
113,0.00280028,0.0061002665,0.22716739,0.068783069
114,0.00230023,0.0063016763,0.22475219,0.071146245
115,0.00170017,0.0033589278,0.21680399,0.125
116,0.00280028,0.0073963777,0.22580281,0.076719577
117,0.00150015,0.0028878526,0.21908894,0.14285714
118,0.0030003,0.0079092024,0.22162378,0.089655172
119,0.00190019,0.0040738711,0.231148,0.11695906
120,0.00110011,0.0011589456,0.21045653,0.12727273
121,0.00140014,0.0018209497,0.21818539,0.20879121
122,0.00180018,0.0038504573,0.23090779,0.091503268
123,0.00120012,0.0038171737,0.23402612,0.1969697
124,0.00270027,0.0090604744,0.23565318,0.085470085
125,0.00190019,0.003282094,0.21718543,0.13450292
126,0.00140014,0.002966999,0.21987422,0.15384615
127,0.00110011,0.0018101224,0.23313127,0.18181818
128,0.00180018,0.0036876811,0.22001936,0.098039216
129,0.00320032,0.0086177504,0.2281054,0.070564516
130,0.00210021,0.0035939555,0.22026655,0.12380952
131,0.0030003,0.005297698,0.22321189,0.073563218
132,0.00110011,0.0029684486,0.22727583,0.16363636
133,0.00090009001,0.0013828886,0.22407727,0.22222222
134,0.00240024,0.0057355004,0.22914566,0.086956522
135,0.00180018,0.0024188078,0.21644263,0.14379085
136,0.00230023,0.0053541449,0.22874202,0.079051383
137,0.00270027,0.0062882872,0.222566,0.082621083
138,0.00190019,0.0027697724,0.21496754,0.14035088
139,0.00320032,0.0058571474,0.22318698,0.08266129
140,0.00280028,0.0068783753,0.22004842,0.082010582
141,0.00330033,0.0077789249,0.22631901,0.060606061
142,0.00220022,0.0064190466,0.22663191,0.095238095
143,0.00180018,0.0034529681,0.22000968,0.11111111
144,0.00210021,0.0042104502,0.22913516,0.09047619
145,0.00130013,0.0031911529,0.22524836,0.12820513
146,0.00390039,0.0132311,0.23432227,0.05802969
147,0.00140014,0.0010000933,0.20498995,0.18681319
148,0.00260026,0.0054058605,0.21941104,0.092307692
149,0.00190019,0.0051764167,0.23004716,0.099415205
150,0.00210021,0.0032725874,0.21719486,0.1047619
151,0.00120012,0.0028172647,0.22150104,0.13636364
152,0.00130013,0.0015516183,0.20453709,0.16666667
153,0.00130013,0.0016789963,0.22728616,0.12820513
154,0.00160016,0.0023650245,0.21149372,0.15833333
155,0.00280028,0.0072408218,0.22924548,0.084656085
156,0.00170017,0.0030648983,0.21884439,0.13235294
157,0.00220022,0.0044560739,0.22070899,0.0995671
158,0.00240024,0.0048261026,0.20933738,0.094202899
159,0.0020002,0.004819492,0.22365125,0.084210526
160,0.00130013,0.0028333975,0.21725621,0.14102564
161,0.00170017,0.0027925211,0.22239769,0.14705882
162,0.00120012,0.0014439716,0.21032372,0.1969697
163,0.00130013,0.0010281541,0.21350786,0.19230769
164,0.00210021,0.0039775847,0.2215403,0.11428571
165,0.0010001,0.00076400055,0.20564342,0.26666667
166,0.00240024,0.0065419566,0.23399326,0.10144928
167,0.00170017,0.0036770584,0.21544461,0.080882353
168,0.00160016,0.0021440726,0.21849529,0.13333333
169,0.00270027,0.0057950695,0.22278915,0.07977208
170,0.00180018,0.0032105627,0.21879171,0.12418301
171,0.00230023,0.0042151027,0.21401969,0.098814229
172,0.00240024,0.0062644098,0.23528166,0.072463768
173,0.00160016,0.0028613733,0.22367626,0.125
174,0.00160016,0.0032327257,0.22481788,0.14166667
175,0.00270027,0.0074060237,0.23236196,0.085470085
176,0.00210021,0.0034667356,0.21359908,0.071428571
177,0.00170017,0.0040108686,0.22733784,0.080882353
178,0.00150015,0.0014904089,0.22014046,0.15238095
179,0.00080008001,0.0011638362,0.20853842,0.21428571
180,0.00280028,0.0079608416,0.23341426,0.082010582
181,0.00150015,0.0018970702,0.21573281,0.16190476
182,0.0020002,0.0038069346,0.22288351,0.10526316
183,0.00080008001,0.00052099261,0.22259573,0.28571429
184,0.00130013,0.0019923772,0.21911774,0.14102564
185,0.00190019,0.0018874045,0.20581697,0.14619883
186,0.00340034,0.0076459365,0.22546168,0.060606061
187,0.0010001,0.0012912392,0.21346683,0.22222222
