node_id,degree_centrality,betweenness_centrality,closeness_centrality,local_clustering_coefficient
0,0.098360656,0.019082596,0.34659091,0.33333333
1,0.13114754,0.21332444,0.37195122,0.14285714
2,0.06557377,0.0090728124,0.28240741,0.16666667
3,0.049180328,0.0023737965,0.30808081,0.33333333
4,0.016393443,0,0.24897959,0
5,0.06557377,0.0043803002,0.23828125,0.5
6,0.098360656,0.029372537,0.26754386,0.53333333
7,0.081967213,0.11823862,0.36526946,0.2
8,0.098360656,0.022365738,0.36309524,0.26666667
9,0.1147541,0.02089438,0.25206612,0.52380952
10,0.081967213,0.016092021,0.31282051,0.4
11,0.016393443,0,0.24897959,0
12,0.016393443,0,0.26872247,0
13,0.13114754,0.052846328,0.27111111,0.5
14,0.19672131,0.061972005,0.37654321,0.25757576
15,0.1147541,0.033292221,0.33888889,0.23809524
16,0.098360656,0.0033047099,0.32972973,0.6
17,0.14754098,0.11430016,0.30964467,0.22222222
18,0.1147541,0.0148549,0.33701657,0.52380952
19,0.06557377,0.013314394,0.31606218,0.5
20,0.14754098,0.10264574,0.39102564,0.13888889
21,0.098360656,0.012700654,0.33333333,0.53333333
22,0.016393443,0,0.23735409,0
23,0.049180328,0.042182786,0.33333333,0.33333333
24,0.098360656,0.0073830435,0.31282051,0.53333333
25,0.049180328,0.0016441148,0.25523013,0.66666667
26,0.049180328,0.0043624772,0.27727273,0.66666667
27,0.081967213,0.02923686,0.31606218,0.4
28,0.081967213,0.066756955,0.36526946,0.3
29,0.14754098,0.065529282,0.32275132,0.25
30,0.081967213,0.033050461,0.32275132,0.3
31,0.016393443,0,0.23735409,0
32,0.049180328,0.032786885,0.21631206,0.33333333
33,0.16393443,0.05716644,0.36526946,0.33333333
34,0.081967213,0.03269476,0.31606218,0.3
35,0.016393443,0,0.24497992,0
36,0.1147541,0.2482372,0.41780822,0.047619048
37,0.18032787,0.13856979,0.39869281,0.23636364
38,0.13114754,0.045352239,0.32972973,0.28571429
39,0.032786885,0.070516779,0.33516484,0
40,0.13114754,0.14314952,0.40397351,0.25
41,0.081967213,0.023251601,0.29756098,0.6
42,0.098360656,0.029157952,0.32972973,0.33333333
43,0.1147541,0.062830604,0.33701657,0.23809524
44,0.06557377,0.012037806,0.31122449,0.16666667
45,0.18032787,0.040670441,0.34659091,0.30909091
46,0.032786885,0.0030084669,0.25630252,0
47,0.098360656,0.023201476,0.33888889,0.4
48,0.016393443,0,0.23282443,0
49,0.032786885,0.00092896175,0.24696356,0
50,0.1147541,0.033411035,0.35057471,0.23809524
51,0.16393443,0.084677255,0.32972973,0.24444444
52,0.06557377,0.019234345,0.34269663,0.33333333
53,0.032786885,0.0011930783,0.25957447,0
54,0.1147541,0.099121647,0.32446809,0.38095238
55,0.032786885,0.00087746953,0.27111111,0
56,0.032786885,0.00013661202,0.21328671,0
57,0.14754098,0.084204683,0.3019802,0.36111111
58,0.016393443,0,0.24897959,0
59,0.081967213,0.020332775,0.34269663,0.3
60,0.016393443,0,0.17836257,0
61,0.049180328,0.014194983,0.3019802,0
