node_id,degree_centrality,betweenness_centrality,closeness_centrality,local_clustering_coefficient
0,0.085933631,0.14630592,0.35334267,0.041961653
1,0.004210005,2.7832744e-06,0.26137614,0.41911765
2,0.0024764735,7.5950212e-08,0.26125776,0.88888889
3,0.004210005,1.6850657e-06,0.26137614,0.63235294
4,0.0024764735,1.8403321e-07,0.26125776,0.86666667
5,0.0032194156,2.2059642e-06,0.26130848,0.33333333
6,0.0014858841,2.4537761e-08,0.26119017,0.93333333
7,0.004952947,0.00017029848,0.27476864,0.43157895
8,0.0019811788,2.7604981e-07,0.26122396,0.67857143
9,0.014115899,1.6454236e-05,0.26205464,0.39724311
10,0.0024764735,4.9867396e-08,0.26125776,0.82222222
11,0.00024764735,0,0.26110572,0
12,0.00024764735,0,0.26110572,0
13,0.0076770679,1.7622718e-06,0.26161322,0.6516129
14,0.0037147103,5.5828717e-07,0.26134231,0.74285714
15,0.00024764735,0,0.26110572,0
16,0.0022288262,1.9979459e-07,0.26124086,0.66666667
17,0.0032194156,4.1066669e-07,0.26130848,0.73076923
18,0.00024764735,0,0.26110572,0
19,0.0039623576,5.062958e-06,0.26135922,0.28333333
20,0.0037147103,6.7936933e-07,0.26134231,0.68571429
21,0.016097078,0.00093802438,0.27561259,0.34903846
22,0.0027241209,6.7030022e-07,0.26127467,0.47272727
23,0.004210005,6.8603489e-06,0.26137614,0.16911765
24,0.0039623576,1.3673472e-07,0.26135922,0.9
25,0.017087667,5.3880831e-05,0.26225888,0.2885763
26,0.01684002,1.9354368e-05,0.26224185,0.41132572
27,0.0012382368,3.0672201e-08,0.26117327,0.9
28,0.0032194156,3.8121607e-07,0.26130848,0.76923077
29,0.0032194156,1.3954818e-06,0.26130848,0.46153846
30,0.004210005,1.3694627e-06,0.26137614,0.5
31,0.0056958891,4.9326413e-06,0.26147769,0.43478261
32,0.0014858841,0,0.26119017,1
33,0.0004952947,0,0.26112261,1
34,0.0012382368,0.0036020881,0.30331255,0.6
35,0.0004952947,0,0.26112261,1
36,0.0027241209,2.7264179e-08,0.26127467,0.96363636
37,0.00024764735,0,0.26110572,0
38,0.0022288262,7.3444812e-07,0.26124086,0.36111111
39,0.0037147103,9.5486326e-07,0.26134231,0.4952381
40,0.010896483,1.379606e-05,0.26183374,0.40486258
41,0.0059435364,4.673275e-06,0.26149463,0.4673913
42,0.0004952947,0,0.26112261,1
43,0.00024764735,0,0.26110572,0
44,0.0014858841,0,0.26119017,1
45,0.0029717682,3.0243457e-07,0.26129157,0.72727273
46,0.0012382368,0,0.26117327,1
47,0.0004952947,0,0.26112261,1
48,0.0054482417,5.2908536e-06,0.26146076,0.32900433
49,0.0009905894,1.8403321e-07,0.26115638,0.5
50,0.0027241209,5.135468e-07,0.26127467,0.56363636
51,0.0017335315,9.2016603e-08,0.26120706,0.85714286
52,0.0004952947,0,0.26112261,1
53,0.0076770679,1.0849233e-05,0.26161322,0.3827957
54,0.0019811788,3.6120168e-07,0.26122396,0.57142857
55,0.004210005,1.8160988e-07,0.26137614,0.83088235
56,0.019316493,0.0010850657,0.27585736,0.34865135
57,0.0037147103,1.5359027e-06,0.26134231,0.52380952
58,0.0029717682,0.084360206,0.39740183,0.27272727
59,0.0047052997,7.2747969e-07,0.26140998,0.77777778
60,0.0019811788,7.5461416e-08,0.26122396,0.67857143
61,0.00074294205,6.1344402e-08,0.26113949,0.66666667
62,0.0064388311,2.8660816e-06,0.2615285,0.52307692
63,0.0014858841,0,0.26119017,1
64,0.0017335315,1.2821396e-05,0.27904084,0.95238095
65,0.0029717682,6.8939239e-07,0.26129157,0.5
66,0.0037147103,9.5422515e-08,0.26134231,0.87619048
67,0.018821199,0.00091185207,0.27581967,0.36140351
68,0.0022288262,1.4722656e-07,0.26124086,0.83333333
69,0.0024764735,1.9840928e-07,0.26125776,0.64444444
70,0.0004952947,0,0.26112261,1
71,0.00074294205,0,0.26113949,1
72,0.0059435364,1.8125106e-06,0.26149463,0.60507246
73,0.0024764735,6.0166642e-07,0.26125776,0.53333333
74,0.00024764735,0,0.26110572,0
75,0.0034670629,2.5490959e-07,0.26132539,0.75824176
76,0.00074294205,0,0.26113949,1
