node_id,degree_centrality,betweenness_centrality,closeness_centrality,local_clustering_coefficient
0,0.48484848,0.43763528,0.56896552,0.15
1,0.27272727,0.053936688,0.48529412,0.33333333
2,0.3030303,0.14365681,0.55932203,0.24444444
3,0.18181818,0.011909271,0.46478873,0.66666667
4,0.090909091,0.00063131313,0.37931034,0.66666667
5,0.12121212,0.029987374,0.38372093,0.5
6,0.12121212,0.029987374,0.38372093,0.5
7,0.12121212,0,0.44,1
8,0.15151515,0.055926828,0.515625,0.5
9,0.060606061,0.00084776335,0.43421053,0
10,0.090909091,0.00063131313,0.37931034,0.66666667
11,0.03030303,0,0.36666667,0
12,0.060606061,0,0.37078652,1
13,0.15151515,0.045863396,0.515625,0.6
14,0.060606061,0,0.37078652,1
15,0.060606061,0,0.37078652,1
16,0.060606061,0,0.28448276,1
17,0.060606061,0,0.375,1
18,0.060606061,0,0.37078652,1
19,0.090909091,0.032475048,0.5,0.33333333
20,0.060606061,0,0.37078652,1
21,0.060606061,0,0.375,1
22,0.060606061,0,0.37078652,1
23,0.15151515,0.017613636,0.39285714,0.4
24,0.090909091,0.002209596,0.375,0.33333333
25,0.090909091,0.0038404882,0.375,0.33333333
26,0.060606061,0,0.36263736,1
27,0.12121212,0.022333454,0.45833333,0.16666667
28,0.090909091,0.001794733,0.45205479,0.33333333
29,0.12121212,0.0029220779,0.38372093,0.66666667
30,0.12121212,0.014411977,0.45833333,0.5
31,0.18181818,0.13827561,0.54098361,0.2
32,0.36363636,0.14524711,0.515625,0.1969697
33,0.51515152,0.30407498,0.55,0.11029412
