node_id,degree_centrality,betweenness_centrality,closeness_centrality,local_clustering_coefficient
0,0.13157895,0.17684211,0.42937853,0.066666667
1,0.013157895,0,0.3015873,0
2,0.039473684,0,0.41304348,1
3,0.039473684,0,0.41304348,1
4,0.013157895,0,0.3015873,0
5,0.013157895,0,0.3015873,0
6,0.013157895,0,0.3015873,0
7,0.013157895,0,0.3015873,0
8,0.013157895,0,0.3015873,0
9,0.013157895,0,0.3015873,0
10,0.013157895,0,0.39378238,0
11,0.47368421,0.56998905,0.6440678,0.12063492
12,0.026315789,0,0.41304348,1
13,0.013157895,0,0.39378238,0
14,0.013157895,0,0.39378238,0
15,0.013157895,0,0.39378238,0
16,0.11842105,0.040629348,0.39175258,0.61111111
17,0.092105263,0,0.34080717,1
18,0.092105263,0,0.34080717,1
19,0.092105263,0,0.34080717,1
20,0.092105263,0,0.34080717,1
21,0.092105263,0,0.34080717,1
22,0.092105263,0,0.34080717,1
23,0.19736842,0.12964454,0.46060606,0.31428571
24,0.14473684,0.029002419,0.46060606,0.49090909
25,0.21052632,0.074901221,0.5170068,0.40833333
26,0.14473684,0.023796253,0.47798742,0.38181818
27,0.22368421,0.05433156,0.5170068,0.32352941
28,0.052631579,0.026491228,0.4021164,0.33333333
29,0.10526316,0.0080409357,0.42696629,0.64285714
30,0.026315789,0,0.31799163,1
31,0.052631579,0.008640295,0.41758242,0.66666667
32,0.013157895,0,0.39378238,0
33,0.026315789,0,0.39583333,1
34,0.078947368,0,0.40425532,1
35,0.078947368,0,0.40425532,1
36,0.078947368,0,0.40425532,1
37,0.078947368,0,0.40425532,1
38,0.078947368,0,0.40425532,1
39,0.039473684,0.0069254386,0.37254902,0.33333333
40,0.013157895,0,0.34234234,0
41,0.14473684,0.011487551,0.39583333,0.45454545
42,0.039473684,0,0.35185185,1
43,0.039473684,0,0.4021164,1
44,0.026315789,0,0.39790576,1
45,0.013157895,0,0.28787879,0
46,0.013157895,0,0.25675676,0
47,0.026315789,0.026315789,0.3438914,0
48,0.28947368,0.1651125,0.51351351,0.35497835
49,0.092105263,0.020210622,0.44186047,0.47619048
50,0.026315789,0.00021720969,0.33480176,0
51,0.092105263,0.047598928,0.44186047,0.42857143
52,0.026315789,0.00035087719,0.3153527,0
53,0.013157895,0,0.30769231,0
54,0.052631579,0,0.36538462,1
55,0.25,0.13203249,0.53146853,0.33333333
56,0.026315789,0,0.35185185,1
57,0.14473684,0.027661236,0.39583333,0.69090909
58,0.19736842,0.042553357,0.48101266,0.60952381
59,0.14473684,0.0012501456,0.39175258,0.92727273
60,0.11842105,0,0.35680751,1
61,0.14473684,0.0012501456,0.39175258,0.92727273
62,0.17105263,0.0052670299,0.4,0.75641026
63,0.15789474,0.0021854883,0.39378238,0.86363636
64,0.17105263,0.03075365,0.475,0.76923077
65,0.15789474,0.0021854883,0.39378238,0.86363636
66,0.13157895,0.00015037594,0.35849057,0.93333333
67,0.013157895,0,0.28464419,0
68,0.13157895,0.004960384,0.46341463,0.8
69,0.13157895,0.004960384,0.46341463,0.8
70,0.13157895,0.0048618042,0.45238095,0.71111111
71,0.11842105,0.0038738299,0.45783133,0.83333333
72,0.039473684,0,0.4021164,1
73,0.026315789,0,0.34234234,1
74,0.026315789,0,0.34234234,1
75,0.092105263,0.00043859649,0.38,0.9047619
76,0.092105263,0,0.35348837,1
