node_id,degree_centrality,betweenness_centrality,closeness_centrality,local_clustering_coefficient
1,0.00084745763,1.5881227e-05,0.19129846,0
2,0.0033898305,0.0015025861,0.2283482,0.10714286
3,0.0025423729,0.00088518635,0.21576022,0.066666667
1041,0.0080508475,0.0060589537,0.27011777,0.035087719
1076,0.0059322034,0.0026978587,0.23554027,0.18681319
1078,0.0046610169,0.00048290905,0.21369048,0.25454545
1079,0.0055084746,0.0015790993,0.21236845,0.17948718
1246,0.00084745763,4.0546668e-05,0.21551595,0
1275,0.0050847458,0.0013579815,0.22137149,0.27272727
1350,0.0084745763,0.010837278,0.2744728,0.052631579
463,0.006779661,0.0055054163,0.26099376,0.0083333333
974,0.0016949153,0.00037653414,0.1994051,0.33333333
975,0.0025423729,0.0012861408,0.21889536,0.13333333
996,0.006779661,0.0029024132,0.24087806,0.066666667
4,0.0033898305,0.0012809597,0.25940944,0.035714286
5,0.0016949153,0.00026357329,0.24004963,0
6,0.016525424,0.018436544,0.28442719,0.013495277
7,0.0059322034,0.0033730144,0.26890368,0.032967033
195,0.0059322034,0.0040946235,0.25498697,0.043956044
566,0.027118644,0.035423072,0.29760559,0.025793651
1443,0.026694915,0.037303213,0.29798676,0.0076804916
1880,0.0029661017,0.00091000064,0.24024242,0
1972,0.0042372881,0.0012508572,0.2453372,0
149,0.012288136,0.009312662,0.27871063,0.13546798
1100,0.0076271186,0.006878686,0.26907645,0.0065359477
2308,0.0072033898,0.0052274342,0.26230151,0.0073529412
18,0.0012711864,0.00029852027,0.23406584,0
57,0.017372881,0.017943062,0.28586389,0.042682927
82,0.0059322034,0.0045986909,0.26616918,0.010989011
118,0.0046610169,0.0047944777,0.26128687,0
184,0.0076271186,0.0051587036,0.27329065,0.013071895
224,0.0012711864,0.00075594349,0.222288,0
357,0.0046610169,0.0041247899,0.25304568,0.018181818
713,0.0021186441,0.00059507703,0.22797528,0
747,0.00084745763,0.00033443335,0.22703599,0
784,0.026271186,0.037107209,0.30003625,0.01427816
791,0.0029661017,0.0030770376,0.24118325,0.047619048
877,0.0029661017,0.0015953824,0.24771714,0.095238095
941,0.0029661017,0.0015202905,0.25986013,0
997,0.0016949153,0.00032202351,0.24620258,0.33333333
1113,0.0059322034,0.0021015938,0.25746379,0.2967033
1176,0.0021186441,0.00056510332,0.23980222,0
1179,0.0021186441,0.00041332037,0.25161655,0.2
1180,0.0021186441,0.00097174487,0.23188848,0.2
1181,0.0080508475,0.007813418,0.2720126,0.052631579
1182,0.00084745763,0.0001291778,0.22942401,0
1183,0.0016949153,0.00064503107,0.24266462,0.33333333
1184,0.00042372881,0,0.21848424,0
1185,0.00042372881,0,0.21848424,0
1186,0.00042372881,0,0.21848424,0
1187,0.0097457627,0.0089116351,0.27436491,0.0079051383
1279,0.0021186441,0.0010474575,0.23789513,0.2
1419,0.00042372881,0,0.21848424,0
1521,0.006779661,0.0058078004,0.27949185,0.033333333
1573,0.0012711864,0.00036411954,0.22335498,0
1574,0.00042372881,0,0.21848424,0
1575,0.00042372881,0,0.21848424,0
1576,0.00042372881,0,0.21848424,0
1577,0.0042372881,0.0023344581,0.26151529,0.022222222
1578,0.0012711864,0.000175315,0.23501156,0
1579,0.0021186441,0.00043339077,0.2428898,0
1580,0.0012711864,0.00014001489,0.2375443,0
1581,0.0038135593,0.0024632418,0.26057155,0.027777778
227,0.0097457627,0.0079830849,0.27436491,0.035573123
265,0.0055084746,0.0022201475,0.25201023,0.21794872
285,0.0072033898,0.0021793389,0.23846407,0.43382353
426,0.0046610169,0.00090179803,0.25595318,0.10909091
811,0.0097457627,0.0076226511,0.25405884,0.11857708
1016,0.0093220339,0.0076699883,0.27501352,0.0086580087
1435,0.011440678,0.0078055927,0.27046667,0.065527066
1674,0.0042372881,0.0026922274,0.23516992,0
1923,0.0029661017,0.0010059276,0.24322836,0
2090,0.0059322034,0.0021186833,0.2547388,0.010989011
2202,0.0050847458,0.0033294284,0.24493543,0.015151515
8,0,0,0,0
9,0,0,0,0
10,0.0012711864,0.0008405009,0.21360328,0
11,0.0063559322,0.0033367198,0.26135209,0.19047619
907,0.0042372881,0.0056760418,0.24487814,0.13333333
2021,0.00042372881,0,0.1741333,0
56,0.0033898305,0.00039763346,0.24162854,0.53571429
64,0.0084745763,0.0067010468,0.26873113,0.047368421
126,0.019915254,0.012768753,0.28427274,0.12303423
168,0.006779661,0.0025648667,0.26412121,0.15833333
172,0.006779661,0.0036093198,0.26289428,0.083333333
252,0.022457627,0.020310515,0.2930655,0.11103048
253,0.006779661,0.0041722219,0.26063642,0.15
299,0.0088983051,0.0067135533,0.26893822,0.13809524
540,0.0038135593,0.0010591154,0.24972605,0.16666667
910,0.0038135593,0.0023588224,0.24987506,0.22222222
994,0.00084745763,8.1255716e-05,0.20806369,0
995,0.011440678,0.006726319,0.26465533,0.014245014
1259,0.0033898305,0.00095825662,0.22340264,0.32142857
12,0.0012711864,0.00023892958,0.22034652,0
13,0.0029661017,0.00040620247,0.21937695,0.095238095
14,0.0012711864,0.00020787801,0.21802926,0
644,0.022881356,0.016913647,0.27934271,0.082459818
143,0.0025423729,0.00050029364,0.24079496,0
631,0.0055084746,0.0031244251,0.25071276,0.038461538
1527,0.0021186441,0.0010523199,0.21609422,0
1650,0.0021186441,0.00012091603,0.21986066,0.3
1651,0.0042372881,0.002492829,0.23952791,0.11111111
1659,0.0012711864,3.5708125e-05,0.21775717,0.66666667
508,0.023305085,0.026953386,0.27653895,0.015488215
2289,0.0012711864,3.8346457e-05,0.20184625,0
15,0.0025423729,0.00049620207,0.24286163,0.066666667
352,0.0080508475,0.0048591375,0.25876829,0.076023392
676,0.0055084746,0.0025635913,0.25335184,0.16666667
1052,0.0046610169,0.0025362363,0.2557656,0.10909091
1055,0.006779661,0.0035860944,0.26040952,0.033333333
1310,0.0063559322,0.0033305724,0.25995692,0.095238095
1817,0.019067797,0.01459213,0.28091668,0.039393939
16,0.00042372881,0,0.21379957,0
17,0.0025423729,0.0013285425,0.24154493,0
186,0.0080508475,0.010214847,0.264388,0.0058479532
369,0.0084745763,0.0096665176,0.27826617,0.021052632
1334,0.00042372881,0,0.19226453,0
1393,0.0029661017,0.00048930663,0.23554027,0
1568,0.0046610169,0.0035016062,0.24171222,0
1896,0.016949153,0.017953404,0.29257412,0.011538462
1192,0.0033898305,0.0012917269,0.24336971,0
19,0.0012711864,0.00085403038,0.17505041,0
980,0.0012711864,0.0014116225,0.21185279,0
1512,0.00042372881,0,0.14762782,0
2188,0.0012711864,0.00026306449,0.17921542,0
20,0.0016949153,0.0010386271,0.21019403,0
21,0.0033898305,0.0014156288,0.24462067,0
22,0.00042372881,0,0.17186088,0
23,0.0080508475,0.0077909804,0.25119397,0
155,0.0084745763,0.0017160499,0.25252689,0.28421053
593,0.0050847458,0.0019894776,0.24874709,0.15151515
849,0.006779661,0.007665263,0.25950588,0.05
920,0.0012711864,2.4898698e-05,0.21611652,0
