source,target
0,43
0,77
0,78
0,82
0,96
1,33
1,35
1,76
1,87
2,35
2,60
2,69
3,7
3,45
3,46
3,52
3,57
3,63
3,83
4,9
4,25
4,48
4,56
4,57
4,64
4,77
4,96
4,97
5,16
5,20
5,50
6,42
6,57
6,69
6,80
6,87
6,94
7,13
7,38
7,80
7,92
8,22
8,23
8,32
8,70
9,40
9,43
9,50
9,56
9,58
10,20
10,25
10,35
10,36
10,39
10,52
10,57
10,59
11,18
11,24
11,36
11,42
11,46
11,67
11,80
12,44
12,48
12,71
13,18
13,45
13,49
13,51
13,70
13,86
14,34
14,44
14,55
14,86
14,99
15,41
15,53
15,57
15,98
16,25
16,41
16,56
16,93
17,61
18,28
18,46
18,64
18,67
19,49
19,58
19,90
19,93
20,65
20,88
21,37
21,66
21,72
21,99
22,37
22,75
22,76
22,83
22,93
23,31
23,53
23,77
24,76
24,79
24,92
25,26
25,59
25,75
25,89
25,94
26,31
26,57
26,58
26,72
26,75
26,83
27,58
27,61
27,71
27,75
28,58
28,84
29,50
29,69
29,71
30,33
30,54
30,75
31,61
31,85
32,61
32,72
32,86
33,65
33,71
33,80
34,44
34,84
34,87
34,96
35,56
35,87
35,89
35,99
36,58
36,84
36,86
36,89
36,94
37,94
38,43
38,57
38,60
40,56
40,70
40,78
42,50
42,58
42,73
42,92
42,99
43,51
43,61
43,65
43,66
43,92
43,94
45,74
45,81
45,96
46,56
46,80
47,62
47,65
47,66
47,75
47,83
47,94
48,90
48,94
48,95
49,54
49,99
50,52
50,60
50,88
51,53
51,66
51,95
52,91
53,59
53,63
53,83
55,62
55,63
56,61
56,78
56,82
57,81
58,73
58,75
58,80
58,94
59,64
59,66
59,82
59,95
60,61
60,77
60,85
60,88
62,74
62,76
62,98
63,75
63,76
63,79
63,87
64,66
64,94
66,72
66,88
68,87
69,79
71,79
71,82
71,95
72,78
72,89
73,88
74,89
75,99
77,96
79,86
80,81
80,86
82,85
84,93
89,91
90,91
94,96
95,97
97,98
